date_times,id,pic_url,price,retailer,title,url
2017-04-24T07:43:48.023711+00:00,25,https://n1.sdlcdn.com/imgs/d/8/t/large/1-456c0.png,1148,AMAZON INDIA,Sony  MDR-AS210AP Open-Ear Active Sports Headphones with Mic (Black),
2017-04-24T07:43:48.035197+00:00,26,https://n1.sdlcdn.com/imgs/b/g/m/large/Sony-MDR-XB950AP-Extra-Bass-SDL122806821-1-309d6.jpg,5289,AMAZON INDIA,Sony MDR-XB950AP On-Ear Extra Bass(XB) Headphones with Mic (Black),
2017-04-24T07:43:48.045929+00:00,27,https://n1.sdlcdn.com/imgs/a/n/e/large/Sony-MDR-XB450-On-the-SDL593649269-1-6e96a.jpg,2099,AMAZON INDIA,Sony MDR-XB450 On-Ear Extra Bass(XB) Headphones (Red),
2017-04-24T07:43:48.056923+00:00,28,https://n1.sdlcdn.com/imgs/b/x/1/large/sdl629936972-abc78.jpg,3990,AMAZON INDIA,Sony NWZ-B183F/R 4GB MP3 Walkman Player - Red,
2017-04-24T07:43:48.068094+00:00,29,https://n1.sdlcdn.com/imgs/a/7/j/large/Sony-MDR-EX150-B-In-SDL706711740-1-3e941.jpg,785,AMAZON INDIA,Sony MDR-EX150 In-Ear Earphones Without Mic (Violet),
2017-04-24T07:43:48.079381+00:00,30,https://n1.sdlcdn.com/imgs/b/5/b/large/Sony-SBH60-On-Ear-Wireless-SDL401439494-1-68f40.jpg,3970,AMAZON INDIA,Sony SBH60 On Ear Wireless Headphones With Mic Black,
2017-04-24T07:43:48.090474+00:00,31,https://n1.sdlcdn.com/imgs/f/f/5/large/Sony-ZX110A-Over-Ear-Wired-SDL842781440-1-10e69.jpg,749,AMAZON INDIA,Sony ZX110A Over Ear Wired Headphones Without Mic,
2017-04-24T07:43:48.101543+00:00,32,https://n1.sdlcdn.com/imgs/b/s/3/large/Sony-KDL-50W800D-127-cm-SDL506637018-1-8dc71.jpg,80700,AMAZON INDIA,Sony BRAVIA KDL-50W800D 125.7 cm (50) Full HD 3D LED Android TV,
2017-04-24T07:43:48.112573+00:00,33,https://n1.sdlcdn.com/imgs/a/i/y/large/Sony-Cybershot-DSC-HX400V-20-SDL311466866-1-85cb7.jpg,27995,AMAZON INDIA,Sony Cybershot HX400V 20.4MP Semi SLR,
2017-04-24T07:43:48.123826+00:00,34,https://n1.sdlcdn.com/imgs/b/g/g/large/Sony-Micro-Vault-Classic-16GB-1134291-1-cd801.jpg,468,AMAZON INDIA,Sony Micro Vault USM16GR/WZ 16GB USB 2.0 Utility Pendrive White,
2017-04-24T07:43:48.135408+00:00,35,https://n1.sdlcdn.com/imgs/c/s/c/large/Sony-MDRAS410AP-BQIN-Ear-Buds-SDL956448669-1-32046.jpg,1949,AMAZON INDIA,Sony MDR-AS410AP In-Ear Active Sports Headphones with Mic (Black),
2017-04-24T07:43:48.146084+00:00,36,https://n1.sdlcdn.com/imgs/b/6/6/large/Pink-68838.JPG,379,AMAZON INDIA,Sony MDR-E8LP In Ear Earphones Without Mic (Pink),
